Topic	Event	Label	Tweet_id
Ukraine	TR01	Other	1511327591201968130
Ukraine	TR01	Other	1511466355068919815
Ukraine	TR01	Other	1500153540861468680
Ukraine	TR01	Other	1511431308899201025
Ukraine	TR01	Other	1497896608998072320
Ukraine	TR01	Other	1511375062796021765
Ukraine	TR01	Other	1511274862513434624
Ukraine	TR01	Other	1510925396186914820
Ukraine	TR01	True	1500104254144581634
Ukraine	TR01	Other	1511297229209980929
Ukraine	TR01	Other	1511443178422943754
Ukraine	TR01	True	1499815476867833856
Ukraine	TR01	True	1500095815297081344
Ukraine	TR01	Other	1511085711214235658
Ukraine	TR01	Other	1499181176598278154
Ukraine	TR01	Other	1511371332390297603
Ukraine	TR01	Other	1511320182819536898
Ukraine	TR01	Other	1511350264149823491
Ukraine	TR01	Other	1511327792918638592
Ukraine	TR01	Other	1500092549406539780
Ukraine	TR01	Other	1511325974893318149
Ukraine	TR01	True	1500118119376949264
Ukraine	TR01	False	1499317648563359747
Ukraine	TR01	Other	1511264631964192769
Ukraine	TR01	Other	1510697314943389700
Ukraine	TR01	False	1499361673739751428
Ukraine	TR01	Other	1510954383902707717
Ukraine	TR01	False	1499408684933394444
Ukraine	TR01	True	1499744313005195264
Ukraine	TR01	True	1499674761181474817
Ukraine	TR01	Other	1511392236247949325
Ukraine	TR01	Other	1511249835176960000
Ukraine	TR01	Other	1510846924932460544
Ukraine	TR01	Other	1511084288514703360
Ukraine	TR01	False	1497902322432806917
Ukraine	TR01	Other	1511437856337805313
Ukraine	TR01	Other	1497787013701017605
Ukraine	TR01	Other	1510990973362479113
Ukraine	TR01	Other	1500153522465218562
Ukraine	TR01	Other	1511363567232200710
Ukraine	TR01	Other	1511348210681454595
Ukraine	TR01	True	1506555939805093890
Ukraine	TR01	Other	1510911943946772481
Ukraine	TR01	Other	1511381805211033607
Ukraine	TR01	True	1503073178385584132
Ukraine	TR01	Other	1510928850376663044
Ukraine	TR01	Other	1511042518141612038
Ukraine	TR01	Other	1511058378444976129
Ukraine	TR01	Other	1498585765135237120
Ukraine	TR01	False	1499400324242571274
Ukraine	TR01	False	1499354844364165121
Ukraine	TR01	Other	1497959881197993990
Ukraine	TR01	Other	1511481692694978560
